Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
289,Bogdan Bogdanović,32,ATL,SG,1,0,28,2,6,0.333,2,6,0.333,0,0,,0.5,2,2,1,0,2,2,2,0,2,2,3,8,,bogdabo01
290,Luke Kornet,29,BOS,C,4,0,65,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,6,6,12,6,2,3,2,6,8,,kornelu01
291,Jared McCain,20,PHI,PG,3,0,25,4,8,0.5,0,3,0,4,5,0.8,0.5,0,0,,2,3,5,2,0,0,1,1,8,,mccaija01
292,Doug McDermott,33,SAC,SF,3,0,12,2,7,0.286,2,6,0.333,0,1,0,0.429,2,3,0.667,0,0,0,0,0,0,0,2,8,,mcderdo01
293,MarJon Beauchamp,24,MIL,SF,4,0,9,2,6,0.333,1,4,0.25,1,2,0.5,0.417,2,2,1,0,0,0,0,1,0,3,3,7,,beaucma01
294,Ricky Council IV,23,PHI,SG,2,0,13,1,4,0.25,1,2,0.5,0,2,0,0.375,4,4,1,0,1,1,0,0,0,1,1,7,,councri01
295,Tyler Kolek,23,NYK,PG,2,0,9,1,2,0.5,1,1,1,0,1,0,0.75,4,4,1,0,0,0,0,0,0,3,0,7,,kolekty01
296,Vasilije Micić,31,CHO,PG,3,0,45,3,18,0.167,1,7,0.143,2,11,0.182,0.194,0,0,,5,6,11,3,1,0,4,2,7,,micicva01
297,Patty Mills,36,UTA,PG,4,0,62,3,10,0.3,1,7,0.143,2,3,0.667,0.35,0,0,,0,3,3,3,3,2,1,4,7,,millspa02
298,Tyler Smith,20,MIL,PF,4,0,10,3,5,0.6,1,3,0.333,2,2,1,0.7,0,0,,1,2,3,0,0,0,0,1,7,,smithty02
299,Jaylon Tyson,22,CLE,SG,3,0,16,2,4,0.5,2,2,1,0,2,0,0.75,1,2,0.5,0,3,3,1,0,0,3,7,7,,tysonja01
300,Delon Wright,32,MIL,PG,4,0,49,3,8,0.375,1,4,0.25,2,4,0.5,0.438,0,0,,0,2,2,4,2,1,2,2,7,,wrighde01
301,Steven Adams,31,HOU,C,1,0,14,3,3,1,0,0,,3,3,1,1,0,1,0,1,2,3,0,0,0,1,3,6,,adamsst01
302,Chris Duarte,27,CHI,SG,2,0,6,2,2,1,2,2,1,0,0,,1.5,0,0,,0,0,0,1,0,0,0,0,6,,duartch01
303,Adam Flagler,25,OKC,SG,3,0,6,2,2,1,2,2,1,0,0,,1.5,0,0,,0,1,1,0,1,0,0,1,6,,flaglad01
